"Woningkenmerken";"Perioden";"Regio's";"Gemiddeld aardgasverbruik (m3)";"Gemiddelde elektriciteitslevering (kWh)"
"Totaal woningen";"2010";"Nederland";"    1850";"    3300"
"Totaal woningen";"2011";"Nederland";"    1450";"    3250"
"Totaal woningen";"2012";"Nederland";"    1500";"    3200"
"Totaal woningen";"2013";"Nederland";"    1600";"    3150"
"Totaal woningen";"2014";"Nederland";"    1200";"    3050"
"Totaal woningen";"2015";"Nederland";"    1250";"    2980"
"Totaal woningen";"2016";"Nederland";"    1300";"    2910"
"Totaal woningen";"2017";"Nederland";"    1240";"    2860"
"Totaal woningen";"2018";"Nederland";"    1270";"    2790"
"Totaal woningen";"2019";"Nederland";"    1180";"    2730"
"Totaal woningen";"2020";"Nederland";"    1120";"    2760"
"Totaal woningen";"2021";"Nederland";"    1250";"    2810"
"Totaal woningen";"2022";"Nederland";"     970";"    2630"
"Totaal woningen";"2023*";"Nederland";"     820";"    2500"
