"Crude, NGL and feedstocks",Electricity,Heat,Natural gas,Oil products,Renewables and waste,Total
152.8119993,380.0739694,134.4269986,898.1659222,1008.011163,31.09682479,2628.186508
125.8160196,387.9035743,134.0959985,846.7186577,1014.433777,44.01147413,2578.530834
122.5839984,390.3248551,133.068001,885.7184611,965.5197944,43.9826522,2562.009478
118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987
116.9680174,387.5113716,125.6070019,1032.772229,1008.90288,42.37544016,2732.806011
120.6839908,387.9564494,119.3170006,882.1598234,952.9046771,45.71062829,2530.077378
107.883997,375.1763345,112.5589988,922.1464346,969.0548227,46.41336174,2557.834447
111.6480181,376.386709,112.7640013,923.4057822,915.8918955,46.922037,2508.137131
113.6879904,365.6812457,109.0949996,784.6873806,865.0242391,51.76369858,2309.636765
92.22919176,373.2362886,94.84118555,809.1163329,892.3642064,50.69922561,2333.886363
96.43528453,376.7342888,92.84404846,828.3039349,933.7602368,48.67525532,2400.623147
90.66838202,380.9449745,88.23946024,839.2678243,968.6972658,53.61847191,2448.317351
73.16830327,388.3093212,83.88267616,820.447748,962.9577114,67.26612945,2419.494147
61.4801435,387.5045429,86.9074382,806.785646,914.1751777,74.64707266,2356.396676
68.08854676,382.86327,79.48997771,768.9975737,902.1222556,71.94466492,2291.959199
60.02299475,384.3208165,83.89752674,828.0508428,892.3417819,74.95192194,2340.72576
62.69758121,373.6288555,76.57231402,647.7558886,821.3562166,71.94378569,2072.616013
