Period,GDP,Year
2006-01-01,143560.7,2006
2006-04-01,146021.7,2006
2006-07-01,147711.3,2006
2006-10-01,150378.1,2006
2007-01-01,153095.2,2007
2007-04-01,154445.3,2007
2007-07-01,156398.1,2007
2007-10-01,158995.6,2007
2008-01-01,161494.2,2008
2008-04-01,162953.0,2008
2008-07-01,163935.4,2008
2008-10-01,163052.1,2008
2009-01-01,158583.0,2009
2009-04-01,157043.0,2009
2009-07-01,156966.1,2009
2009-10-01,157626.1,2009
2010-01-01,157755.1,2010
2010-04-01,161295.5,2010
2010-07-01,161355.1,2010
2010-10-01,162208.6,2010
2011-01-01,163298.6,2011
2011-04-01,163885.0,2011
2011-07-01,164403.2,2011
2011-10-01,164105.4,2011
2012-01-01,163894.2,2012
2012-04-01,164670.5,2012
2012-07-01,164136.5,2012
2012-10-01,165169.8,2012
2013-01-01,165408.9,2013
2013-04-01,166207.0,2013
2013-07-01,166695.7,2013
2013-10-01,167314.1,2013
2014-01-01,169217.7,2014
2014-04-01,168439.2,2014
2014-07-01,169311.4,2014
2014-10-01,171727.5,2014
2015-01-01,171938.0,2015
2015-04-01,174143.8,2015
2015-07-01,176415.0,2015
2015-10-01,176716.6,2015
2016-01-01,177498.0,2016
2016-04-01,179080.1,2016
2016-07-01,180866.8,2016
2016-10-01,182884.5,2016
2017-01-01,184689.1,2017
2017-04-01,186822.7,2017
2017-07-01,188756.4,2017
2017-10-01,190846.1,2017
2018-01-01,194513.2,2018
2018-04-01,195429.9,2018
2018-07-01,197801.4,2018
2018-10-01,199715.6,2018
2019-01-01,204543.5,2019
2019-04-01,206705.6,2019
2019-07-01,208404.3,2019
2019-10-01,210125.4,2019
2020-01-01,208846.1,2020
2020-04-01,192409.5,2020
2020-07-01,206150.6,2020
2020-10-01,209293.3,2020
2021-01-01,211124.3,2021
2021-04-01,221532.8,2021
2021-07-01,227758.5,2021
2021-10-01,230906.8,2021
2022-01-01,238976.6,2022
2022-04-01,245664.0,2022
2022-07-01,251763.5,2022
2022-10-01,257302.1,2022
2023-01-01,261379.6,2023
2023-04-01,265279.5,2023
2023-07-01,268958.5,2023
2023-10-01,272030.5,2023
2024-01-01,277043.3,2024
2024-04-01,281171.8,2024
2024-07-01,285049.5,2024
