Year,GeothermalHeat,AmbientAirHeat,TotalGeothermal&GroundEnergy,TotalBiomass,TotalRes(excl.Stat.Transfer),TotalRes(incl.Stat.Transfer),Totaal windenergie,TotalSolarEnergy,Total Including Non-Renewable,Hydropower,OnshoreWindEnergy,OffshoreWindEnergy,SolarPower,SolarThermalEnergy
2006,840.0,90.0,840.0,52156.0,63478.0,63478.0,9145.0,886.0,2284781.0,361.0,8917.0,228.0,132.0,755.0
2007,1141.0,106.0,1141.0,60188.0,74123.0,74123.0,11396.0,934.0,2247857.0,358.0,10304.0,1092.0,135.0,798.0
2008,1488.0,195.0,1584.0,64823.0,82081.0,82081.0,14131.0,988.0,2282493.0,360.0,12154.0,1977.0,143.0,846.0
2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0
2010,2183.0,536.0,2501.0,71605.0,92411.0,92411.0,16210.0,1196.0,2359420.0,364.0,13455.0,2755.0,201.0,994.0
2011,2538.0,737.0,2854.0,76881.0,99256.0,99256.0,17010.0,1416.0,2192915.0,358.0,14336.0,2674.0,376.0,1040.0
2012,2852.0,961.0,3347.0,78470.0,102676.0,102676.0,17780.0,1757.0,2203277.0,361.0,14963.0,2817.0,686.0,1070.0
2013,3147.0,1230.0,4140.0,75825.0,103463.0,103463.0,19324.0,2582.0,2205198.0,362.0,16676.0,2648.0,1476.0,1106.0
2014,3404.0,1592.0,4906.0,77317.0,108835.0,108835.0,20914.0,3739.0,2009118.0,367.0,18215.0,2700.0,2611.0,1128.0
2015,3634.0,2019.0,6082.0,78707.0,117192.0,117192.0,24900.0,5127.0,2046519.0,355.0,21174.0,3727.0,3991.0,1137.0
2016,3855.0,2635.0,6699.0,75469.0,122177.0,122177.0,30110.0,6913.0,2091289.0,351.0,21748.0,8362.0,5767.0,1147.0
2017,4081.0,3529.0,7127.0,82029.0,136815.0,136815.0,34710.0,9080.0,2104645.0,339.0,22560.0,12150.0,7936.0,1144.0
2018,4383.0,4668.0,8114.0,92566.0,156304.0,156304.0,36106.0,14510.0,2116089.0,340.0,23681.0,12426.0,13354.0,1156.0
2019,4715.0,6167.0,10279.0,108445.0,184632.0,184632.0,38784.0,20617.0,2077604.0,334.0,26743.0,12041.0,19437.0,1180.0
2020,5097.0,8012.0,11282.0,120444.0,223015.0,272155.0,50215.0,32729.0,1944180.0,324.0,32264.0,17951.0,31553.0,1176.0
2021,5520.0,10507.0,11847.0,126740.0,259671.0,259671.0,68394.0,41858.0,2004341.0,326.0,37635.0,30759.0,40694.0,1164.0
2022,5984.0,14191.0,12783.0,110244.0,275716.0,275716.0,77054.0,61132.0,1850247.0,312.0,46644.0,30410.0,59964.0,1168.0
2023,6657.0,18867.0,13455.0,105200.0,306157.0,306157.0,96674.0,71657.0,1784713.0,304.0,56762.0,39912.0,70481.0,1176.0
