Feature Set,Horizon,nRMSE (%),nMAE (%),MAPE (%)
Exogenous Features,1,5.2703544978830195,3.9059539171413236,3.9850275665063744
Exogenous Features,7,4.893072076562175,3.7414155098211594,3.849883365760229
Exogenous Features,30,4.734700599347914,3.6945032237446838,3.850908556003363
Exogenous Features,90,4.695272757480629,3.5149575311533003,3.6206244670877528
Exogenous Features,180,6.942056074735041,5.273487013285361,5.3513896255140185
Generated Features,1,4.220459342250081,3.2984236390703283,3.3418093665176682
Generated Features,7,4.094476480499956,3.1973721257436147,3.2609738304980285
Generated Features,30,3.94826252094767,3.0749917727685148,3.150284960877296
Generated Features,90,3.8093988228737317,2.902691255062769,2.9577193849203347
Generated Features,180,3.71537047169035,2.7853399893408133,2.831452924782055
Both Exogenous & Generated,1,5.781621381181648,4.779291841913115,4.733376954155967
Both Exogenous & Generated,7,5.848673287212418,4.747381136661259,4.682116243951041
Both Exogenous & Generated,30,4.648076586428144,3.65265122099767,3.7087977837444726
Both Exogenous & Generated,90,4.444433040875561,3.390995957038054,3.448922062404979
Both Exogenous & Generated,180,4.102168870881423,3.099843530626839,3.1601768771969763
